תאריך,סכום,קטגוריה,תת-קטגוריה,תיאור,סוג,משויך לחודש,קטגוריות,סוג חיוב
5/11/2025 12:00am,₪105.00,אוכל,אוכל בחוץ,חומוס אבו ברקוביץ,הוצאה,November,,ויזה 6346
6/11/2025 12:00am,₪35.00,אוכל,אוכל בחוץ,חומוס אבו ברקוביץ,הוצאה,November,,ויזה 6346
9/11/2025 12:00am,₪19.90,אוכל,מזדמנים,סופרטל רמת השרון,הוצאה,November,,ויזה 6346
12/11/2025 12:00am,₪142.00,אוכל,אוכל בחוץ,מאמא שווארמה,הוצאה,November,,ויזה 6346
13/11/2025 12:00am,₪47.00,אוכל,אוכל בחוץ,מאמא שווארמה,הוצאה,November,,ויזה 6346
13/11/2025 12:00am,₪2250.92,אוכל,סופר,כל הוצאות סופר כאל,הוצאה,November,,כאל 6660
13/11/2025 12:00am,₪524.00,אוכל,מסעדות ומשלוחים,אוכל בחוץ שלי ושל יובי,הוצאה,November,,כאל 6660
7/11/2025 12:00am,₪78.00,אוכל,סופר,בייגלים ארוחה לאבא,הוצאה,November,,כאל 6660
15/11/2025 12:00am,₪26.10,אוכל,סופר,,הוצאה,November,,ויזה 6346
18/11/2025 12:00am,₪70.00,אוכל,אוכל בחוץ,נונו מימי,הוצאה,December,,ויזה 6346
19/11/2025 12:00am,₪57.00,אוכל,אוכל בחוץ,יאשקה,הוצאה,December,,ויזה 6346
17/11/2025 12:00am,₪17.71,אוכל,מזדמנים,מאפייה,הוצאה,December,,ויזה 6346
22/11/2025 12:00am,₪15.00,אוכל,מזדמנים,,הוצאה,December,,ויזה 6346
23/11/2025 12:00am,₪29.00,אוכל,אוכל בחוץ,בנדיקט רעננה פארק,הוצאה,December,,ויזה 6346
26/11/2025 12:00am,₪48.00,אוכל,אוכל בחוץ,פיצה ביס,הוצאה,December,,ויזה 6346
27/11/2025 12:00am,₪60.00,אוכל,אוכל בחוץ,מאמא שווארמה,הוצאה,December,,ויזה 6346
14/12/2025 12:00am,₪1404.00,אוכל,סופר,סיכום חיובי סופר,הוצאה,December,,כאל 6660
14/12/2025 12:00am,₪493.00,אוכל,אוכל בחוץ,,הוצאה,December,,כאל 6660
28/11/2025 12:00am,₪156.00,אוכל,אוכל בחוץ,שישי שוק לוינסקי,הוצאה,December,,ויזה 6346
4/12/2025 12:00am,₪30.00,אוכל,אוכל בחוץ,סביח,הוצאה,December,,ויזה 6346
5/12/2025 12:00am,₪32.40,אוכל,מזדמנים,גלידה,הוצאה,December,,ויזה 6346
7/12/2025 12:00am,₪64.00,אוכל,סופר,,הוצאה,December,,ויזה 6346
31/12/2025 12:00am,₪1336.00,אוכל,סופר,סיכום עסקאות סופר דצמבר,הוצאה,January,,כאל 6660
30/12/2025 12:00am,₪112.00,אוכל,אוכל בחוץ,שושה צופית,הוצאה,January,,כאל 6660
15/12/2025 12:00am,₪78.00,אוכל,מסעדות ומשלוחים,וולט נטע ואפק,הוצאה,December,,כאל 6660
18/12/2025 12:00am,₪113.00,אוכל,סופר,סופר בעבודה ,הוצאה,January,,ויזה 6346
4/1/2026 12:00am,₪82.00,אוכל,אוכל בחוץ,יאשקה,הוצאה,January,,ויזה 6346
